,Subsample size,Energy Weight,2Jmax,Train Precision,Error Precision,Sampling Method,Subsampled Energy RMSE,Subsampled Force RMSE,Training Energy RMSE,Training Force RMSE,Testing Energy RMSE,Testing Force RMSE
0,3000,150,6,6,6,Random,0.007924189378765711,0.16662274230313426,0.008366127718628482,0.1663926527768213,0.008400080843785108,0.16774502623337983
1,3000,150,6,6,6,Random,0.007813352080951914,0.16488046935936368,0.008720896692553916,0.1799841728747662,0.008800702312507614,0.18123765377495038
2,3000,150,6,6,6,Random,0.007872321283970298,0.16535687331478366,0.008271148679605107,0.16725717489528377,0.008727661953450169,0.1691624058196581
3,3000,150,6,6,6,Random,0.007847607119145157,0.1640143653317772,0.008773962731153566,0.169286166440966,0.00874823850186174,0.16981536938314112
4,3000,150,6,6,6,Random,0.007934070788035362,0.16650503745112366,0.008465680992568074,0.16591677843074432,0.008893933662376625,0.16725153025053774
5,3000,150,6,6,6,Random,0.00781886551135685,0.16417963000629493,0.008725748401008397,0.1800653473210295,0.009043461760971781,0.18272584638367875
6,3000,150,6,6,6,Random,0.007871882112540501,0.16601785750162223,0.008456685074004874,0.16735832666914283,0.00885134576164486,0.16909362799781139
7,3000,150,6,6,6,Random,0.008127792929994673,0.16764564944886495,0.008392418888272324,0.16789525613703635,0.008407179218605744,0.16936724609450848
8,3000,150,6,6,6,Random,0.0077700726927707985,0.1640583711139323,0.008272150166723908,0.16807469197965424,0.008582279534749871,0.17021531272579518
9,3000,150,6,6,6,Random,0.007816738754195035,0.16479474926836016,0.008356186389253915,0.1664637707591716,0.00837410419138733,0.16806854439137114
10,3000,150,6,6,6,Random,0.007793887251329729,0.16162337041707234,0.009266280428104793,0.17177638063312214,0.010443239126472605,0.1746837954581669
11,3000,150,6,6,6,Random,0.00787840323055288,0.1646588608541784,0.008784867195542091,0.18144332666781524,0.008967489051308968,0.18332368778145844
12,3000,150,6,6,6,Random,0.007869921044061538,0.16342390130133624,0.008525163263847436,0.1747552895571992,0.008830377142305446,0.17649374609956414
