,Subsample size,Energy Weight,2Jmax,Train Precision,Error Precision,Sampling Method,Subsampled Energy RMSE,Subsampled Force RMSE,Training Energy RMSE,Training Force RMSE,Testing Energy RMSE,Testing Force RMSE
0,1500,150,6,6,6,Random,0.0072573071161074025,0.16368955166118027,0.008778385166250565,0.17056181178997185,0.00905141968611355,0.17349985028778991
1,1500,150,6,6,6,Random,0.007351763950706823,0.16182435546644086,0.009089680781213388,0.1815655889181845,0.009551435384485229,0.1842386341918772
2,1500,150,6,6,6,Random,0.00781342819084019,0.16426847042365128,0.008692807877749141,0.18095370787707735,0.008913913338080894,0.18235227034010867
3,1500,150,6,6,6,Random,0.007622701735684384,0.16374771996710819,0.009007564651182435,0.18112200156576322,0.009116442631143794,0.18313240794120164
4,1500,150,6,6,6,Random,0.007586492728972858,0.16664635235440253,0.008765602999277457,0.16704947993083932,0.009253633340597154,0.1683258816783215
5,1500,150,6,6,6,Random,0.007688271993870779,0.16624348349322982,0.008421098990399703,0.17024127645665094,0.008758163919319521,0.17229537419747395
6,1500,150,6,6,6,Random,0.007516817787562619,0.1643926765573939,0.008511679764434918,0.16636985803092771,0.008619209602729551,0.16822728154321515
7,1500,150,6,6,6,Random,0.007718892326378581,0.16316392657290013,0.009788597745240444,0.19755835336145808,0.0103866869228285,0.19879073092568528
8,1500,150,6,6,6,Random,0.007594171475224895,0.1650281348327936,0.010725392553788007,0.1809349418242545,0.013251182284326566,0.18366513804573825
9,1500,150,6,6,6,Random,0.007686918628379566,0.16410496433493788,0.008734247483083647,0.16656451813163042,0.008728154022978496,0.16813496379161627
10,1500,150,6,6,6,Random,0.007538018889859233,0.16484796715432973,0.008696192182049926,0.16843346157049244,0.008740637024968221,0.1697009936665901
11,1500,150,6,6,6,Random,0.007543821217933021,0.16518662417468175,0.009176195022589527,0.1685590113189684,0.009775318137614493,0.16940237189198776
12,1500,150,6,6,6,Random,0.007977164575479423,0.16782242379586068,0.008599438998853268,0.16766586051535295,0.009199683789174866,0.16891284140799034
13,1500,150,6,6,6,Random,0.007392901763652091,0.16359445233312492,0.010260504055885529,0.18978798032937488,0.010290411013141465,0.19042449543271212
14,1500,150,6,6,6,Random,0.007694333468794393,0.1625047267578196,0.008849377286218629,0.1729085795967482,0.009228471188300173,0.1755605349834455
15,1500,150,6,6,6,Random,0.007653183149718823,0.16504666252469605,0.008804217659208921,0.1702884465195082,0.009473294235961766,0.17129475573006897
16,1500,150,6,6,6,Random,0.007692915156296248,0.1666856427006014,0.008606415421527656,0.16727090910710993,0.008716880793333548,0.168964241181582
17,1500,150,6,6,6,Random,0.0074659853503969975,0.161416756572076,0.009529405689720145,0.18777604980300588,0.009677303792781774,0.1911089494044881
18,1500,150,6,6,6,Random,0.007536215652285036,0.16626389224013063,0.008466338598077505,0.16687106492495946,0.008599834344070722,0.16824430372942578
19,1500,150,6,6,6,Random,0.007352293668519202,0.1610393847601083,0.010291246292887524,0.1901177015817186,0.010823188562044252,0.19250397616991635
20,1500,150,6,6,6,Random,0.007721514312201074,0.16513540290774106,0.008794152972519684,0.16835637647823487,0.009714288367274932,0.16978987912896862
21,1500,150,6,6,6,Random,0.007680421671512664,0.1669696793096216,0.008825894282852069,0.16745040828159724,0.008887677521463645,0.1686938422250836
22,1500,150,6,6,6,Random,0.007674512876642951,0.16337600374849007,0.009020710137194438,0.18465422405824078,0.009251030719622856,0.18786757739356194
23,1500,150,6,6,6,Random,0.007384882748068692,0.16392592275318602,0.00907040939401837,0.186637569508975,0.009423698909382898,0.18787747550069783
24,1500,150,6,6,6,Random,0.007528401329082373,0.16496894989209976,0.008788836940806235,0.17415289245094392,0.009044282256975787,0.1771614020089316
