,Subsample size,Energy Weight,2Jmax,Train Precision,Subsampled Energy RMSE (train precision),Subsampled Force RMSE (train precision),Training Energy RMSE (train precision),Training Force RMSE (train precision),Testing Energy RMSE (train precision),Testing Force RMSE (train precision),Subsampled Energy RMSE (6th precision),Subsampled Force RMSE (6th precision),Training Energy RMSE (6th precision),Training Force RMSE (6th precision),Testing Energy RMSE (6th precision),Testing Force RMSE (6th precision)
0,1500,5.0,6,1,0.1785766647629792,0.41847805174749425,0.1959329893612327,0.40286523752014924,0.19687695977778158,0.4039223028049532,0.47640880618228965,0.27803179376340936,0.4866138122453801,0.2550843874868934,0.4862742790761984,0.2557049131750881
1,1500,5.0,6,2,0.04316628421677703,0.23085064166966254,0.04222272011350029,0.22450626835937684,0.0433850050605265,0.22477522421749757,0.05384936833614485,0.17241390651770377,0.05822033226204526,0.16316602263837904,0.057700291930227875,0.16366485159067212
2,1500,5.0,6,3,0.026052485312925894,0.18520567918882014,0.022353179914916508,0.17642341723253785,0.02307344003079867,0.17692304019217026,0.02410713966611005,0.16764915359244723,0.019141154238945794,0.1584319508180206,0.019528649757358983,0.158919395957937
3,1500,5.0,6,4,0.02406170199159864,0.1742395323711587,0.01914186467315292,0.16512179176956296,0.01982655772949815,0.16559224457081567,0.02383540706571134,0.16689503552778184,0.018931909313431892,0.15767996713094273,0.01950714455098861,0.15816350527512302
4,1500,5.0,6,5,0.023754122816268194,0.16698802687444547,0.018585567534340652,0.15782244663829112,0.01924127331393597,0.15829234839446424,0.023783632974630937,0.16676089834126984,0.018621807961406885,0.1575634767445231,0.019279529458456696,0.15804698142216625
5,1500,5.0,6,6,0.023727508990337286,0.16676056254507815,0.018571947415591143,0.15756226352910924,0.019228099068759504,0.15804570694467263,0.023727508990337286,0.16676056254507815,0.018571947415591143,0.15756226352910924,0.019228099068759504,0.15804570694467263
6,1500,10.0,6,1,0.17370360454274544,0.4191645127292345,0.19292730134286895,0.4039092178561725,0.19364497261466365,0.4049856845402643,0.4792353958547996,0.27859324617482073,0.4891232538224975,0.2559791230231136,0.4885730805482439,0.256574219062997
7,1500,10.0,6,2,0.04063126691914196,0.2310019726814047,0.04095307007762484,0.22465745465424328,0.04186100359994153,0.22493888262807565,0.05350235357378385,0.17258691107407356,0.058482572958543325,0.1633381055445111,0.05774435016612853,0.16384917364659868
8,1500,10.0,6,3,0.0226488275233707,0.1853599397437964,0.020536056378834842,0.17654813901123192,0.020803538317912103,0.17705968066068542,0.020725064992514558,0.16784181385968613,0.01753281558433292,0.1585895595794609,0.017374193597053184,0.15909227877358417
9,1500,10.0,6,4,0.020121336671079165,0.17441548436924198,0.017033791684822067,0.1652365427515187,0.01712739331015896,0.1657227421921493,0.020045551754484244,0.16706053425834086,0.016955450175419128,0.15777770875108987,0.016925707801623523,0.1582781168557599
10,1500,10.0,6,5,0.01971483594198797,0.16717290594710854,0.016406197360001012,0.15793456546757711,0.016450423531049824,0.15842184540869558,0.01973206526803689,0.16694451904929392,0.01643008933816915,0.1576760081254942,0.016476779505042366,0.15817655157233268
11,1500,10.0,6,6,0.019707021408080144,0.16694477807099392,0.01639780253191647,0.15767560133998676,0.016445747886807194,0.15817608228626784,0.019707021408080144,0.16694477807099392,0.01639780253191647,0.15767560133998676,0.016445747886807194,0.15817608228626784
12,1500,12.25,6,1,0.17279357769082004,0.419496750439736,0.19210970948780368,0.40444882258086234,0.19279013720822988,0.40553304880758384,0.47973001902715107,0.2789672709153687,0.4892893514115542,0.25660016515217604,0.4887206897964656,0.2571888190246825
13,1500,12.25,6,2,0.04027681653612736,0.23105637551412617,0.04077886090401914,0.2247111333668721,0.04165231346870003,0.22499813140751737,0.05345443602506127,0.17264857758849944,0.05839422187353665,0.16340817860224488,0.05764156045310729,0.16392612838717147
14,1500,12.25,6,3,0.021990679744181892,0.18542953014353186,0.020151379083836716,0.17660226746012625,0.020338148707763414,0.1771191402842604,0.020081608555069574,0.16792345167729789,0.01717448659174057,0.15865193193438723,0.016932470091726836,0.15916204838287526
15,1500,12.25,6,4,0.01925257592874135,0.1745016315526787,0.016518691417834658,0.16528886230246378,0.016505613401898017,0.1657820938018337,0.019181455737167813,0.167140143047882,0.01642343517038903,0.15781994145588865,0.016285390222987545,0.15832812211311414
16,1500,12.25,6,5,0.018818137810778793,0.16726370827603917,0.015872167553535817,0.15798540024453364,0.015802740752291,0.1584810009373256,0.018832587426263866,0.1670349396724045,0.015891958778717838,0.1577271035314131,0.015825851253763026,0.1582356665070352
17,1500,12.25,6,6,0.01881222863272906,0.1670354823520731,0.015864042225654854,0.1577271842454404,0.015799449183133252,0.15823567876534422,0.01881222863272906,0.1670354823520731,0.015864042225654854,0.1577271842454404,0.015799449183133252,0.15823567876534422
18,1500,50.0,6,1,0.15551672104111192,0.46960412909766647,0.17437441397773598,0.46008681111756305,0.1749896247566515,0.46104914153333115,0.482233864541756,0.34840410370967034,0.4849893197424601,0.33766679307469494,0.48458707226238484,0.3378843405500974
