,Subsample size,Energy Weight,2Jmax,Train Precision,Error Precision,Sampling Method,Subsampled Energy RMSE,Subsampled Force RMSE,Training Energy RMSE,Training Force RMSE,Testing Energy RMSE,Testing Force RMSE
0,750,150,6,6,6,Random,0.0068789448082527275,0.1603737407665438,0.01525817265928715,0.20242667740599146,0.016869533023245932,0.20462076922496225
1,750,150,6,6,6,Random,0.007389479388552955,0.16753191723655778,0.009780280675793711,0.18972230548468685,0.009787145392891338,0.19042496469466672
2,750,150,6,6,6,Random,0.007395160010066711,0.16878094848646985,0.008733634920455202,0.16871822846288656,0.008861200593261708,0.16985921836344453
3,750,150,6,6,6,Random,0.007257367253661857,0.1680532007191959,0.008850754515169338,0.17380357447519573,0.008920913366146538,0.1755171332696144
4,750,150,6,6,6,Random,0.006978269382050182,0.1632399275921146,0.011076469155411682,0.18190012637668296,0.012761265894103846,0.1860143912458174
5,750,150,6,6,6,Random,0.007291960033669517,0.1664945715834442,0.00892498352743546,0.16969420739657898,0.009045441126760204,0.17124296551018528
6,750,150,6,6,6,Random,0.007088930556046405,0.1641353294007383,0.010037292253564782,0.18553214920362465,0.010966221547719826,0.1857853615703193
7,750,150,6,6,6,Random,0.006949949230590136,0.16293423159317977,0.008994016597326512,0.16899621899428952,0.0091666684203128,0.16988268650284308
8,750,150,6,6,6,Random,0.007275607970294823,0.17029933412536577,0.00920656784428591,0.16865937903489137,0.009056626859609162,0.17003018395343444
9,750,150,6,6,6,Random,0.007024911013893272,0.1628377608193067,0.010247620228206461,0.18747532256887084,0.010231113219979398,0.19128248738331005
10,750,150,6,6,6,Random,0.006857441972419956,0.16146262588476715,0.010567192951300569,0.18478081301830512,0.011371262635621888,0.18798678653880563
11,750,150,6,6,6,Random,0.006846364231292613,0.16394599846327695,0.00886945603374636,0.16913914816650893,0.008926928070904188,0.17055131134069226
12,750,150,6,6,6,Random,0.007120661271311882,0.16353872485618876,0.00945894231117378,0.18314490526961483,0.009677020939500026,0.18637174726244926
13,750,150,6,6,6,Random,0.007024571289006044,0.16669439197409505,0.009035299081124106,0.17620250673963245,0.009297137036757403,0.17710259739307094
14,750,150,6,6,6,Random,0.007379844288707904,0.1657497717708077,0.008806129357593518,0.16720140861816693,0.008902874674865457,0.16806371063664122
