,Subsample size,Energy Weight,2Jmax,Train Precision,Subsampled Energy RMSE (train precision),Subsampled Force RMSE (train precision),Training Energy RMSE (train precision),Training Force RMSE (train precision),Testing Energy RMSE (train precision),Testing Force RMSE (train precision),Subsampled Energy RMSE (6th precision),Subsampled Force RMSE (6th precision),Training Energy RMSE (6th precision),Training Force RMSE (6th precision),Testing Energy RMSE (6th precision),Testing Force RMSE (6th precision)
0,350,5.0,6,1,0.170937585894577,0.432395921054413,0.19727383004813837,0.4077492715642795,0.19842814275371387,0.4087885723857773,0.48122683441622466,0.2829107549494408,0.48749752159926046,0.2601649657909998,0.48706104076483975,0.26083467488118156
1,350,5.0,6,2,0.040760942152456105,0.23605891932355064,0.04225532411621587,0.22791008659153683,0.043439066077603096,0.22822497114745066,0.05225840942004617,0.17881246981341342,0.05934648820901925,0.16820707452481126,0.05876373689616737,0.16878487084214258
2,350,5.0,6,3,0.02636519788717533,0.19151383989671655,0.023852075237463664,0.18036130954582144,0.02440903109760864,0.18092708498521787,0.02552896397760023,0.17394444854045596,0.020985071460113025,0.16291537311685428,0.021151501836225814,0.16344127725333174
3,350,5.0,6,4,0.024945495068178725,0.18062234218406198,0.020243280827393,0.16904908684357556,0.02061388850638664,0.16954362162634518,0.0251095169255158,0.17303548954949854,0.02037065725000438,0.16182141613326995,0.02060927984753883,0.16232612473877148
4,350,5.0,6,5,0.024846849295296253,0.17308913976176207,0.019739656753518433,0.16190678870008576,0.020076218127173927,0.1623875347576895,0.02484548365746803,0.17278700255665272,0.01982516158466333,0.16165272933127922,0.020160893996209184,0.16214873202722005
5,350,5.0,6,6,0.024820819529650113,0.1727807202045751,0.019747420661479755,0.1616508093316914,0.02008181780715435,0.1621513250627184,0.024820819529650113,0.1727807202045751,0.019747420661479755,0.1616508093316914,0.02008181780715435,0.1621513250627184
6,350,10.0,6,1,0.16589313009162168,0.4330675214993839,0.19405979140672938,0.4085096294603343,0.19498744652619246,0.4095377196078224,0.48403059437055407,0.28304682788182567,0.4880365111286823,0.2610416511181202,0.48734912454275175,0.2616554557916989
7,350,10.0,6,2,0.038273848376611595,0.23619947397978838,0.04102050658663132,0.2280471050746764,0.042070430532173554,0.22837505637100197,0.05158352059184597,0.17896192227301536,0.05818919220686192,0.16837998822138697,0.057460540051738174,0.16896550178800254
8,350,10.0,6,3,0.022694041860497147,0.19167627378224342,0.02150893724967433,0.18050891902026853,0.021793425796882156,0.18108632734138147,0.022089926115378435,0.1741259292507587,0.01860977847234797,0.16308100020460434,0.01841548907331973,0.1636206815674138
9,350,10.0,6,4,0.02112888755825565,0.18079538629329495,0.017728650928462625,0.16919179639732035,0.017754952351993758,0.16969946301796537,0.02145245087717097,0.17319297913336767,0.017917651917166835,0.1619489534421845,0.017803397879340307,0.16246891424277105
10,350,10.0,6,5,0.020985291685801776,0.1732716777040982,0.01709989376849614,0.16206125748105404,0.01707847509327284,0.16255798827361917,0.02095796757757308,0.17297096496007847,0.01716718173265726,0.16180762370202517,0.017145542684450715,0.1623190644048119
11,350,10.0,6,6,0.020968817623687706,0.172962988838887,0.017118924927292226,0.16180469199223438,0.01709731202553631,0.16232074895233678,0.020968817623687706,0.172962988838887,0.017118924927292226,0.16180469199223438,0.01709731202553631,0.16232074895233678
12,350,12.25,6,1,0.1648579165332387,0.43342239678562716,0.19324552906364517,0.40891755682230985,0.1941278384964494,0.4099362872998775,0.4845059553894003,0.28316544387504805,0.4880355364228404,0.2615772390974953,0.48731142780808834,0.2621641232924476
13,350,12.25,6,2,0.03785991609251396,0.23625901272373678,0.04084632508366861,0.2281006322540262,0.041879174142562696,0.22843498654665798,0.05148032930964563,0.1790196076939214,0.05786559868442048,0.1684510762888995,0.05712613067591275,0.16904105436523595
14,350,12.25,6,3,0.02198075194336927,0.19175042759311003,0.021057962721079557,0.18057641049401907,0.02129945062097423,0.18115929801789135,0.021417386153535733,0.17420478698084688,0.01812808781348066,0.16315073738837801,0.017887629677896394,0.1636974067721063
15,350,12.25,6,4,0.020257696192460706,0.18088441784551954,0.017155869291886422,0.16926259569006444,0.017128264107152277,0.16977642680420058,0.02059112298961913,0.1732719005741824,0.017314159648442816,0.1620112221471213,0.017144161564856767,0.16253857345395503
16,350,12.25,6,5,0.020075026367844577,0.173368002967341,0.016494795759957173,0.16214124815967515,0.016413197769444794,0.16264596571001402,0.020044669679680223,0.17306828350823275,0.0165569643439364,0.1618879301668865,0.01647590789492242,0.16240699027329134
17,350,12.25,6,6,0.020059922449915387,0.1730592678737476,0.01651378530200101,0.16188439353479905,0.01643287409443198,0.16240808752596764,0.020059922449915387,0.1730592678737476,0.01651378530200101,0.16188439353479905,0.01643287409443198,0.16240808752596764
18,350,50.0,6,1,0.14205085419697666,0.4940865970147667,0.17552986570136725,0.4721689021518435,0.17606932285294688,0.4729039202311528,0.4870601590622573,0.35943038180757814,0.4836801671795086,0.3500203196088294,0.4826005900479781,0.3500080705986845
19,350,50.0,6,2,0.033149125543209194,0.2413469954528223,0.038799623735461176,0.23264635176055465,0.039928436241208835,0.23305167462887735,0.05095076187151455,0.18475096948033906,0.0545274575587464,0.17392668427224126,0.05381387288730927,0.17453101278971464
20,350,50.0,6,3,0.016134897236218006,0.19519572086784354,0.017322512527230764,0.18365743383152527,0.01752815872735496,0.18423407482332155,0.015617549672910836,0.17785386780648374,0.013935341887493699,0.16643370324093273,0.01381289917413778,0.1670065078524277
21,350,50.0,6,4,0.013181150582722278,0.18454751435625172,0.012506345597311813,0.17243463738277268,0.012548642112681004,0.17295242885026643,0.013231178636775507,0.17691263980538952,0.012063318627436415,0.1651866810294565,0.011949275327651481,0.1657404372451927
22,350,50.0,6,5,0.012650293857271136,0.17724827425193812,0.011696594275494363,0.16552240837748441,0.011657340016299542,0.1660618155133051,0.012624279128343411,0.17697145693912728,0.011718079578150454,0.16527960298703515,0.011686067320319913,0.16582880218874688
23,350,50.0,6,6,0.012636447713052274,0.17694421130545743,0.011696534671509749,0.16526656280087265,0.011663349938153541,0.16581974977931938,0.012636447713052274,0.17694421130545743,0.011696534671509749,0.16526656280087265,0.011663349938153541,0.16581974977931938
24,350,150.0,6,1,0.10037467308112061,0.9429994720656176,0.15148732057413322,0.9028522806616164,0.1524743843241669,0.9041918139834935,0.4949304233040524,0.8721387323242068,0.4787188432207338,0.8429014267370049,0.47676408997470104,0.8438893060357017
25,350,150.0,6,2,0.025537398406561898,0.29679659175321665,0.03700144008596674,0.2800066633213293,0.03825747762427708,0.2807266716927942,0.05301579046777445,0.2510978413593805,0.0531831619648983,0.23215018144279062,0.05252408050646931,0.2330466352568602
26,350,150.0,6,3,0.011181042836312858,0.21533615551049348,0.015464161746834945,0.2007403306158837,0.01568071908963399,0.20122453202632037,0.013112240114321907,0.19965272000506445,0.013119082282643873,0.18524398931703423,0.013159441880665064,0.18578220908981116
