,Subsample size,Energy Weight,2Jmax,Train Precision,Error Precision,Sampling Method,Subsampled Energy RMSE,Subsampled Force RMSE,Training Energy RMSE,Training Force RMSE,Testing Energy RMSE,Testing Force RMSE
92,1000,150,6,6,6,Leverage,0.00896897612896008,0.18655142194293722,0.008649338624007998,0.17243907818074136,0.008788646981657332,0.1730458209561464
93,1000,150,6,6,6,Leverage,0.008619803921479721,0.18531108592087908,0.008623547565108107,0.17306791260282417,0.008724945954224307,0.17376555227528254
94,1000,150,6,6,6,Leverage,0.008657369208196547,0.18360780000207216,0.008597647243342738,0.17222912309789923,0.008743011402861232,0.17303655235435814
95,1000,150,6,6,6,Leverage,0.008901570009833258,0.18490409973033722,0.008689985150660022,0.1732751673693035,0.008896250929921218,0.17395314850114071
96,1000,150,6,6,6,Leverage,0.008798400670671995,0.18212291147530107,0.008795462965989785,0.1708676796934693,0.00887174506803216,0.17146646013709688
97,1000,150,6,6,6,Leverage,0.008694550584940976,0.1846599802059352,0.008674908379028042,0.17221808868600333,0.008805636551227661,0.17292404979418358
98,1000,150,6,6,6,Leverage,0.008747212893528207,0.18320153534109448,0.008548167468147823,0.17174500523079983,0.008659756691653355,0.17246780207857543
99,1000,150,6,6,6,Leverage,0.00873845409080139,0.18333210792158727,0.008537343605359722,0.17239343941783639,0.008687405103553474,0.17296952224734782
100,1000,150,6,6,6,Block Leverage,0.008159584945143567,0.18202432866358598,0.00877894844147794,0.16908676001072043,0.008872398677412763,0.16959270567021467
101,1000,150,6,6,6,Block Leverage,0.008116179278211864,0.1815754109723572,0.008824508740891215,0.16942265397922385,0.008941266134737254,0.1701235219649522
102,1000,150,6,6,6,Block Leverage,0.00797658719593164,0.18087144223681234,0.00902764949496228,0.16822986912864796,0.009134739510466302,0.16881006422015002
103,1000,150,6,6,6,Block Leverage,0.008504496126504071,0.18303922998079047,0.008815865845868586,0.16948288086033322,0.00893808584799001,0.1703618724495007
104,1000,150,6,6,6,Block Leverage,0.008312301779579716,0.18297271555262504,0.008839126397779635,0.16898329136546172,0.009035372734369855,0.1697845956501228
105,1000,150,6,6,6,Block Leverage,0.008522988468366402,0.1827443249595825,0.008985165445635535,0.16907467087070355,0.009108854272025861,0.1698324425183025
106,1000,150,6,6,6,Block Leverage,0.008363818581210554,0.18116919917167493,0.009006075687676343,0.16801991815381528,0.009040781969545717,0.16855615786158265
107,1000,150,6,6,6,Block Leverage,0.008174359894149935,0.1816460523756301,0.008904002743751293,0.16822815412893535,0.009037545376606022,0.16886944705317086
108,1000,150,6,6,6,Block Leverage,0.007930485503922323,0.18058959606695013,0.008904930458035445,0.16847714903475522,0.009004864237572595,0.16930147997123102
109,1000,150,6,6,6,Block Leverage,0.008427309167084224,0.18343785920063121,0.008887784751323596,0.16906625707537207,0.009057755433839442,0.1697894583738131
110,1000,150,6,6,6,Block Leverage,0.00847215616780324,0.18412955527253771,0.008844363312634941,0.17006829112424213,0.00898327417315474,0.17080283319424427
111,1000,150,6,6,6,Block Leverage,0.008418490518446004,0.18182606175075,0.008906563555797622,0.16906502820797092,0.009039791634638375,0.16972145259225974
112,1000,150,6,6,6,Block Leverage,0.008286441065094312,0.18156061475932245,0.008938870681718844,0.16774370532407093,0.009073091303166103,0.1684246054837632
113,1000,150,6,6,6,Block Leverage,0.008195702161552167,0.18060667626404486,0.008872661476267411,0.16849751048193987,0.009042018403636583,0.16941225130966014
114,1000,150,6,6,6,Block Leverage,0.008364173493080692,0.18092312786620196,0.009066965409711381,0.16784831050678778,0.009102479710519732,0.16854021784375495
