,Subsample size,Energy Weight,2Jmax,Train Precision,Subsampled Energy RMSE (train precision),Subsampled Force RMSE (train precision),Training Energy RMSE (train precision),Training Force RMSE (train precision),Testing Energy RMSE (train precision),Testing Force RMSE (train precision),Subsampled Energy RMSE (6th precision),Subsampled Force RMSE (6th precision),Training Energy RMSE (6th precision),Training Force RMSE (6th precision),Testing Energy RMSE (6th precision),Testing Force RMSE (6th precision)
0,3000,5.0,6,1,0.1824161731748608,0.4119677046629418,0.19643813800278456,0.40140489720331657,0.19745132389207226,0.4024363981036021,0.46185122297453474,0.2679117662262228,0.47425096181689336,0.25248204362832377,0.47402296746680755,0.2529463011340713
1,3000,5.0,6,2,0.04344694776609317,0.22818645579898242,0.0422795766804383,0.2231310691680567,0.04356060156324141,0.22343817845418426,0.05134807840220045,0.16769543502967688,0.05534720969820756,0.1613302538803822,0.05495287810952068,0.16186524773852645
2,3000,5.0,6,3,0.02496506531568761,0.1807723557074901,0.022331808845878483,0.1748284886772878,0.023193799803892492,0.1753998351962259,0.02258360795132456,0.16314854371277585,0.018807613408713966,0.15670651707804567,0.01938518422694668,0.15724721646444556
3,3000,5.0,6,4,0.022846997285853758,0.169873027546346,0.019010537803054485,0.1635470031445024,0.019843341554740795,0.16406716727995133,0.02240685400178314,0.16243862375763363,0.018763367894674775,0.1560575933456494,0.019497421322395514,0.15659668950793926
4,3000,5.0,6,5,0.022280896000426827,0.1626002171720948,0.01847896932013577,0.1561750237061747,0.019276792942701258,0.15670009224463952,0.022304853652654583,0.16231784991623813,0.018514627084050942,0.1559134038936269,0.01931431704056823,0.15645367677536284
5,3000,5.0,6,6,0.02227331504981013,0.16231755086546362,0.01847680972285333,0.15591211841189193,0.019270964605466265,0.1564528672451265,0.02227331504981013,0.16231755086546362,0.01847680972285333,0.15591211841189193,0.019270964605466265,0.1564528672451265
6,3000,10.0,6,1,0.17758167439698652,0.4126702915157998,0.19221261574958365,0.4023037763469129,0.1930232959031434,0.40336756562880804,0.4641652518470408,0.268100004746812,0.476454236585846,0.25299889982464197,0.47610114530631015,0.2534692932542298
7,3000,10.0,6,2,0.04125559723949141,0.22831909835488415,0.04080227906222739,0.22326830870157954,0.041811047532805866,0.22359119768243937,0.05113658453304134,0.16783162450924266,0.055740389263180104,0.16149395824951038,0.05508723194475576,0.1620466017528728
8,3000,10.0,6,3,0.021881898149057884,0.18090940726797214,0.02030267287407887,0.17496010580494512,0.020649621682060443,0.17554944629102973,0.019395150397844917,0.1633216962686057,0.016906859433907087,0.15687218166233954,0.016847852916360487,0.15743420887850093
9,3000,10.0,6,4,0.019348623223766268,0.17002455611919526,0.016726969565689746,0.16367490432055154,0.016882552045423948,0.16421732088205845,0.01901945771336871,0.16258111242847229,0.016640972907938482,0.15617043527082217,0.016676828678559286,0.15673262806265723
10,3000,10.0,6,5,0.018720758035682825,0.16275646181909423,0.016148405337185777,0.1562995786492503,0.016248715540295743,0.15684780527929615,0.018733458755743032,0.16247419108987837,0.016175810301483934,0.15603834904652053,0.016278622083024753,0.15660161697710867
11,3000,10.0,6,6,0.01872815169367792,0.1624734811082319,0.016155825668086817,0.1560367910466452,0.016257684175888736,0.156600512010339,0.01872815169367792,0.1624734811082319,0.016155825668086817,0.1560367910466452,0.016257684175888736,0.156600512010339
12,3000,12.25,6,1,0.17665139001006344,0.41301791905632185,0.1911847864121655,0.4027754861811986,0.19197123335473254,0.4038527262473992,0.4645859307966834,0.26827713269106035,0.4765434815741758,0.25339947445121974,0.4761961357818522,0.2538807180903507
13,3000,12.25,6,2,0.040928357577111295,0.22837005548568848,0.040579908871235866,0.22332213757495586,0.0415464153839438,0.22365220693110913,0.05107689232122819,0.16788328517352655,0.0556653217631907,0.16156709772276592,0.054988424204569265,0.16212919889620236
14,3000,12.25,6,3,0.021247813154076985,0.1809748983126978,0.019881672004496566,0.17502300712860408,0.02013071685027743,0.17562022551869266,0.018775108952260817,0.16339949092537126,0.016513974230894082,0.15694597346284422,0.01634637648134697,0.15751796811073449
15,3000,12.25,6,4,0.018553967257356488,0.170101325856928,0.016181952755124927,0.16373893725500965,0.016208050158085303,0.16429117303598537,0.018233117770114323,0.16265210734775015,0.01609344481567806,0.15622551818726194,0.01599673698324485,0.15679812032992743
16,3000,12.25,6,5,0.017913538945400088,0.16283519763587992,0.015588766435751796,0.15636119808763121,0.015551583763559208,0.15692012726792084,0.01792444482971089,0.1625531907638669,0.01561327850456548,0.1561002316002324,0.015579529027882325,0.15667397910428094
17,3000,12.25,6,6,0.017921595235494647,0.1625523273776404,0.015595802148792871,0.15609860437366563,0.015561842865989125,0.15667279427533315,0.017921595235494647,0.1625523273776404,0.015595802148792871,0.15609860437366563,0.015561842865989125,0.15667279427533315
18,3000,50.0,6,1,0.15963511510131512,0.46304341877922217,0.1728700647328193,0.4566721650502112,0.1737215152396037,0.4577293494358504,0.46691035311563156,0.3346226408452954,0.47341138130006105,0.32901815572951787,0.47332283013381043,0.32949138893406654
19,3000,50.0,6,2,0.03791724103835373,0.23188399112904573,0.038004700854461844,0.22692295858215558,0.03901288972943211,0.2273478367192237,0.0503574309129444,0.17193035185419264,0.05390779008838312,0.16626553808231148,0.05336311192099317,0.1669439512461966
20,3000,50.0,6,3,0.01676310067216905,0.18358770134882016,0.016490027396252237,0.17756486301357932,0.01662672383038656,0.17822372260304878,0.014285232057290091,0.1662291903731311,0.012932528618859445,0.15972957251624686,0.012828336642438088,0.16039843894730038
21,3000,50.0,6,4,0.012887442366631627,0.17289486124675799,0.011678998671424188,0.16631336478103903,0.011633420258889832,0.16693693224600897,0.012376678721408744,0.16544405923070724,0.011256998633256781,0.15875554974272102,0.011081770959789463,0.159417721635119
22,3000,50.0,6,5,0.012069148097873902,0.16571202205349742,0.010839297766869935,0.15895241795508636,0.010705661021017597,0.15960891456810328,0.012067472050616266,0.16543928755473317,0.010843460940949666,0.15870043622494245,0.010719951885177225,0.15936723808447623
23,3000,50.0,6,6,0.012062084327860906,0.16544223019780344,0.010832472468381598,0.15870323509530743,0.010708312886565324,0.15936994090993248,0.012062084327860906,0.16544223019780344,0.010832472468381598,0.15870323509530743,0.010708312886565324,0.15936994090993248
24,3000,150.0,6,1,0.13168098351829127,0.8497533526839304,0.1436114791744854,0.8395504295649825,0.14548248487623866,0.8407033448843294,0.47351610063617217,0.783574924823977,0.47347852390723255,0.7760781415692186,0.4729319736642448,0.777028984522047
25,3000,150.0,6,2,0.03429842936803529,0.26498562304115447,0.03474508007334979,0.258555636612479,0.03596528871394782,0.2593935707542993,0.051366092513506365,0.2134593943407174,0.05366304929846481,0.20696275136272246,0.05324802654255161,0.2081315252962534
26,3000,150.0,6,3,0.01414149914531776,0.19575207967726307,0.014310948020209917,0.18870040278976205,0.014560930802134775,0.18952334290654868,0.01269806201747165,0.17946123230974018,0.011754613434496002,0.17205809418461415,0.011909381350972378,0.1729475983301692
27,3000,150.0,6,4,0.00988156336732007,0.18332051846906583,0.009266938081252951,0.17536744377450225,0.00946182147217585,0.17614805820796453,0.0092566070149749,0.1763003911271016,0.008659593047425699,0.16816802524819913,0.008768828151417983,0.16901621701801475
28,3000,150.0,6,5,0.008885092949316619,0.17615494755831196,0.008242347533975685,0.16795455955994995,0.008386612648001793,0.16879345680575786,0.008877325818088115,0.1758957696665096,0.008238251680884115,0.1677204444022436,0.00838783090723617,0.16857010707599518
29,3000,150.0,6,6,0.00887281569266163,0.17590109798924017,0.008232134312928773,0.16772898488244573,0.008379610525904309,0.1685766742992888,0.00887281569266163,0.17590109798924017,0.008232134312928773,0.16772898488244573,0.008379610525904309,0.1685766742992888
30,3000,300.0,6,1,0.11853547790653962,1.3308622952731792,0.13046030403542366,1.2967369386506495,0.13381938969888654,1.2993028097200634,0.4789961062114343,1.2901874371738318,0.4772711022155681,1.2566237712045762,0.4759154900048161,1.2592374461782123
31,3000,300.0,6,2,0.03242026108773301,0.33349671046752,0.03342058521072261,0.3215556138637192,0.034993762508799736,0.32328614340933964,0.05261240480059314,0.294556656525884,0.05443847486804679,0.28209738021244485,0.0540753421612521,0.2842269221759652
32,3000,300.0,6,3,0.013052025012952016,0.21900731657217523,0.013485797696530253,0.20892307797765192,0.013909592550809141,0.2101104251126992,0.012630709952633214,0.20462980464405198,0.011862380293507245,0.19424633090067325,0.01217137801268876,0.19551749754647912
33,3000,300.0,6,4,0.008799041749487653,0.2002637162963662,0.008512728328604535,0.1894230157083991,0.00890369970008771,0.19047685173126425,0.008297929138154855,0.1939640457240597,0.00797573700172422,0.18286276247168642,0.0082971515033813,0.18399441311513706
34,3000,300.0,6,5,0.007801776820919653,0.19186651905338095,0.007498091961595959,0.18074130663938598,0.007827357500363934,0.18183704531688158,0.007793971596128071,0.19162487535880302,0.007491620494578042,0.18052728332155898,0.007822315391553702,0.18163711110647196
35,3000,300.0,6,6,0.007789169534068423,0.19161900732683568,0.007487904570309296,0.18052785673637148,0.007817024514139449,0.18163506936084803,0.007789169534068423,0.19161900732683568,0.007487904570309296,0.18052785673637148,0.007817024514139449,0.18163506936084803
36,3000,5.0,6,1,0.1817192110991565,0.41191397585127093,0.1960919189612828,0.4017411531779523,0.19706185459088815,0.40270522952906634,0.46691634806367854,0.26869511462793233,0.4795105753491884,0.2510299860732344,0.47920232825995773,0.2515247533552498
37,3000,5.0,6,2,0.043488647236835216,0.22853682248569138,0.04221534135615476,0.223210583563706,0.04345340017793926,0.22349687690751313,0.052170998924770076,0.16814676173622645,0.056476392091159525,0.16124053771808766,0.0560350482016696,0.1617571002997435
38,3000,5.0,6,3,0.025207449000075495,0.18155984905197003,0.02226847325079507,0.174863867006389,0.02309963819165842,0.17540602068364888,0.02270949179923291,0.16374478744649584,0.01888948427967967,0.15682179781565048,0.019427056410600697,0.1573402542796685
39,3000,5.0,6,4,0.02293065732028415,0.17063909368598054,0.0190225319743489,0.16356520333343907,0.019824594856786497,0.16407166037508888,0.022665623667234944,0.16299388000530035,0.01885427094995109,0.15605294918845208,0.019555261963329188,0.15657430014270068
40,3000,5.0,6,5,0.022547806252459338,0.16314823774158482,0.018536076332933134,0.1561910202809137,0.019317402291924662,0.1567001389438659,0.022570729932492,0.16287627846579442,0.018578792382852285,0.1559289166848374,0.019361216537527717,0.15645373700537724
41,3000,5.0,6,6,0.022550800490333492,0.1628757671356584,0.01853989058672465,0.1559266624398513,0.019321350925161834,0.1564508413521476,0.022550800490333492,0.1628757671356584,0.01853989058672465,0.1559266624398513,0.019321350925161834,0.1564508413521476
42,3000,10.0,6,1,0.17657802039623083,0.41265985732112287,0.19230801817267593,0.40271430559004096,0.19308450455711185,0.4037118887975254,0.46957319674057063,0.26878308364429077,0.4811748673201514,0.25142392754448356,0.48074089843123613,0.2519096439009767
43,3000,10.0,6,2,0.04120313098620835,0.22867506812776306,0.040822714079414506,0.22335423392412904,0.041783881542170345,0.22365751532823502,0.051947271517036146,0.16829209427089298,0.05648916296377255,0.16140747266523597,0.05580422445240673,0.16194153986562354
44,3000,10.0,6,3,0.022098501831438182,0.18169817388558512,0.020352068305086114,0.17499574438923365,0.020650939753659604,0.17555562289280277,0.01968264630069588,0.1639167006114395,0.017152458770186344,0.1569848996438167,0.01704270042622296,0.1575241739588853
45,3000,10.0,6,4,0.019384728046006376,0.17079217239066055,0.0167839711714666,0.16369366037647123,0.016898933849156767,0.16422219916387948,0.019241897318101154,0.16313688969376866,0.01674129402597035,0.156165302679437,0.016738185420854784,0.1567096545726246
46,3000,10.0,6,5,0.018874099228508405,0.1633101674635696,0.016195600872492073,0.15631909447756723,0.016264375464154542,0.15685163120965398,0.018884167110211625,0.1630388119018423,0.016227605397385193,0.15605740526361503,0.01629856925829056,0.15660545643864376
47,3000,10.0,6,6,0.01888246742088811,0.16303786708678633,0.016204609612422007,0.1560547767146307,0.01627663723383767,0.15660219564622052,0.01888246742088811,0.16303786708678633,0.016204609612422007,0.1560547767146307,0.01627663723383767,0.15660219564622052
48,3000,12.25,6,1,0.175564553220003,0.4130358438831007,0.19132496663982404,0.40322743993889587,0.19207971353602338,0.40423958552641975,0.47003505291118425,0.26892074016351647,0.48119688228443325,0.2517744543882754,0.48076094102921885,0.25226459424132014
49,3000,12.25,6,2,0.04086342417977804,0.22872771219865753,0.04060466628526189,0.22340943229511545,0.04152631834431003,0.22372052340785484,0.05188727765761017,0.1683498752147315,0.05635376497715329,0.16148351360008348,0.0556480314823213,0.16202695162456648
50,3000,12.25,6,3,0.021479496937466504,0.18176236594151632,0.01994433296070244,0.1750564631524998,0.020144051557816928,0.17562422810595138,0.019088394316579875,0.16399139314239622,0.016779057245364618,0.15705463016469942,0.016560662860349625,0.1576038237089754
51,3000,12.25,6,4,0.01858750555282835,0.17086885279118613,0.016246406386534164,0.16375616499328702,0.016231385791117228,0.16429460238882074,0.018447182830502118,0.16320659414077568,0.016192696684826743,0.1562183714925877,0.016057006613452853,0.15677332378554576
52,3000,12.25,6,5,0.018049310283486355,0.16339084102749374,0.01563488881109237,0.15638141417362747,0.015564819338626678,0.1569251753445648,0.018056928107985953,0.16311991145916196,0.015663575762611515,0.15612000283325023,0.01559672404036675,0.15667904509250352
53,3000,12.25,6,6,0.01805607391446248,0.16311886873263498,0.015642802003331065,0.15611730751481848,0.015577080478537042,0.15667572311124872,0.01805607391446248,0.16311886873263498,0.015642802003331065,0.15611730751481848,0.015577080478537042,0.15667572311124872
54,3000,50.0,6,1,0.1576426542668508,0.464638906388176,0.17299850504126532,0.4590440073158448,0.17383802399263595,0.4601622333023676,0.47245860044086374,0.33822316711248207,0.47842763951757433,0.33161971275404983,0.47815846152906055,0.33219707191711045
55,3000,50.0,6,2,0.037656663104256,0.232496542892432,0.0379267898638291,0.22725032376512025,0.03894540850391384,0.2276803210614811,0.05127933458650019,0.17300373711269598,0.05470600679613922,0.16674672954984196,0.05413275113820979,0.16740411181472506
56,3000,50.0,6,3,0.017042852004567424,0.18442916433255238,0.016435305528820127,0.17770518676169067,0.01653344383362326,0.1783463430448827,0.014572725925945022,0.16693038473617614,0.013148264263315786,0.15994740160017853,0.01299537375464366,0.16060683001333656
57,3000,50.0,6,4,0.012975463048490671,0.17364911727501822,0.011701098642943279,0.16633874927164913,0.01162535632395946,0.16695419910851816,0.012551121141417869,0.16597115009625765,0.0113115504569278,0.15876126635688215,0.011103257855656782,0.1594145572522776
