,Energy Weight,2Jmax,Train Precision,Training Energy RMSE (train precision),Training Force RMSE (train precision),Testing Energy RMSE (train precision),Testing Force RMSE (train precision),Training Energy RMSE (6th precision),Training Force RMSE (6th precision),Testing Energy RMSE (6th precision),Testing Force RMSE (6th precision)
0,0.01,6,1,2.003056306904906,0.39793710243885755,2.0051362590459982,0.39913315641970115,2.433952228587195,0.24978639849524764,2.4343700990861357,0.25042755898268587
1,0.01,6,2,2.452158546717486,0.22004184735771012,2.4509048328464975,0.22056963666842372,2.4961542236631105,0.15708013039654972,2.494556665328731,0.15785756591497485
2,0.01,6,3,2.421824835350901,0.17119185125760145,2.4205437617592542,0.17197140709833417,2.4230579661819136,0.15275407477092084,2.4218410054292097,0.1535126335602819
3,0.01,6,4,2.420323498331452,0.15974398045033916,2.4189724646363455,0.16046421579960848,2.4218275004627836,0.15202596639456906,2.4204942829463034,0.15278686520925672
4,0.01,6,5,2.418583016361758,0.15219385163906807,2.4173043731528736,0.15296476136406906,2.4188074927742527,0.15192352498148737,2.4175254787522786,0.15271287689144158
5,0.01,6,6,2.4193931102438784,0.15192306892804786,2.4181108054299254,0.1527126317594538,2.4193931102438784,0.15192306892804786,2.4181108054299254,0.1527126317594538
6,0.1,6,1,1.3002661929973718,0.39801422157775823,1.3031967246918439,0.39918051718395436,1.719700401780316,0.2498983379775189,1.7207865189979152,0.25051514574024913
7,0.1,6,2,1.5646383303318105,0.22025592249918688,1.564091861815543,0.22071065694712463,1.6081541523639904,0.15732935599478307,1.6072552986103656,0.1580313602421058
8,0.1,6,3,1.5444423747815441,0.1714603679757517,1.5438458718432095,0.17219071721259058,1.5456489493075385,0.15305246962408334,1.5451159904059946,0.15375702852515455
9,0.1,6,4,1.5433666789395677,0.16003138045518808,1.5427014325642294,0.16070776248560006,1.5448572726708552,0.15232631416696524,1.5442091583683175,0.15303920893896733
10,0.1,6,5,1.5422643237341556,0.15249504640561912,1.5416702966503164,0.1532134776626986,1.5424884147329674,0.1522256481444176,1.541891106920354,0.15296174814268962
11,0.1,6,6,1.5427801181885372,0.15222500163968422,1.5421826737824142,0.15296105765348025,1.5427801181885372,0.15222500163968422,1.5421826737824142,0.15296105765348025
12,1.0,6,1,0.27931889610978333,0.3985842232863805,0.28286825860743636,0.3997048336957535,0.49906993569259134,0.250109527146271,0.5009322196397065,0.2506899393801742
13,1.0,6,2,0.08357989864617073,0.22159519177484893,0.08522686768342853,0.22198529871876518,0.09725177215983216,0.15908450415276768,0.098148010992127,0.1597385896431493
14,1.0,6,3,0.06076470878866334,0.1731258249371706,0.06218837365656752,0.1738478814213824,0.05988586920004261,0.15490610028791374,0.06131774833200159,0.1556038796920318
15,1.0,6,4,0.057210847942876654,0.16181066147126183,0.0587692334062719,0.16249435443871688,0.057548202335387946,0.15419415009474496,0.05907786491694163,0.15491207954482025
16,1.0,6,5,0.05728611196782343,0.15435879010208572,0.05885077352245353,0.15507359949265156,0.05743121666562693,0.15409331914855667,0.05899642084788897,0.15482460884247648
17,1.0,6,6,0.05728448344431591,0.15409324002281316,0.05884813618805715,0.15482412989293304,0.05728448344431591,0.15409324002281316,0.05884813618805715,0.15482412989293304
18,5.0,6,1,0.19741015909229367,0.4000427819436546,0.19836126178439073,0.4011754709491254,0.4554272544115808,0.2499303706636845,0.455216426806818,0.25045150322971205
19,5.0,6,2,0.0430799995669882,0.22187238384995558,0.044607141067575705,0.22225773185802758,0.05268256091170077,0.1593442429969602,0.052563885423887735,0.15998386461943995
20,5.0,6,3,0.023092796545879417,0.17332031548245558,0.024352856949750222,0.17404584023229314,0.019111249679977783,0.1551242636658701,0.020211352747776235,0.15582667912725914
21,5.0,6,4,0.01977544282397526,0.1619960478828733,0.021066583627053333,0.1626875005474911,0.019331158321680825,0.15439100221094393,0.020564024612396557,0.15511929790225282
22,5.0,6,5,0.019161713860156616,0.15455577583385496,0.02043287726978005,0.1552775667278931,0.019181405122956553,0.15429070218896454,0.020455099812485462,0.15502958455244706
23,5.0,6,6,0.019170023954245285,0.15429046817294298,0.020438129003467833,0.155029021700628,0.019170023954245285,0.15429046817294298,0.020438129003467833,0.155029021700628
24,10.0,6,1,0.19151325928919757,0.4009865150066606,0.1922121160483414,0.4022081857650667,0.45739416079051254,0.25021773359390304,0.4573151367109745,0.2507837921675853
25,10.0,6,2,0.04109680530098997,0.22199154072182278,0.042192110322921535,0.22240452257582394,0.05253980389678273,0.15944075238757235,0.05203391357484698,0.16011007509211916
26,10.0,6,3,0.02070208385771286,0.17341960632879974,0.02119967321292839,0.17417633710035174,0.016859459677137367,0.15525220730456551,0.01703185518739261,0.15598912783233373
27,10.0,6,4,0.0170931174426301,0.16209745639170295,0.017448582826516335,0.1628234258830553,0.016780257992279373,0.1544824337513416,0.01704200097810534,0.15524635309581364
28,10.0,6,5,0.016432965644676237,0.1546599385623878,0.0167477150782025,0.1554167278871405,0.01644475582259456,0.15439522421532287,0.01676243098587689,0.1551692551714893
29,10.0,6,6,0.016442305665524255,0.15439484452379199,0.016756869663405075,0.1551686005149496,0.016442305665524255,0.15439484452379199,0.016756869663405075,0.1551686005149496
30,12.25,6,1,0.19025659149705054,0.4014799156628897,0.19093727488701429,0.4027382365168447,0.45784955087984314,0.2505261613494232,0.4578315679319569,0.251126691316778
31,12.25,6,2,0.04078535180607838,0.22203866014254153,0.04179199467942569,0.22246392816949093,0.052496450541266136,0.1594886021703853,0.05193456132179497,0.16017337390889194
32,12.25,6,3,0.020213477302200435,0.173466998946226,0.020541151776406395,0.1742369417095303,0.01645136518514899,0.1553089190088946,0.01642616748114449,0.1560613699804989
33,12.25,6,4,0.016488998540216702,0.16214896113034266,0.016635931883392623,0.16288950958280318,0.016188776680348772,0.15452751008954282,0.016235710512583944,0.1553067526982073
34,12.25,6,5,0.015817018312110694,0.15471279916786293,0.01591497851417768,0.15548514387258922,0.01582740186405447,0.15444831867513703,0.015929045368403453,0.15523781658574518
35,12.25,6,6,0.01582570343649903,0.15444788298142195,0.015924922229661742,0.1552371201076318,0.01582570343649903,0.15444788298142195,0.015924922229661742,0.1552371201076318
36,20.0,6,1,0.1864464307850503,0.4046255491780545,0.1871423794605169,0.40599180054874395,0.45868778911131486,0.25399821430498526,0.45881590107940073,0.25473599086431375
37,20.0,6,2,0.04008110448796428,0.2222588196720695,0.04098844983721483,0.2227221140294768,0.05233324348206559,0.15975911922210626,0.051733687833958195,0.16049484587093518
38,20.0,6,3,0.019047854370108995,0.1736918756903995,0.01913228298405337,0.17450030349754633,0.015381340374641853,0.1555631828775874,0.015097823108507989,0.1563636940467454
39,20.0,6,4,0.014976628723991806,0.162399042611372,0.014819198472177858,0.16318122733073573,0.014655407962442683,0.15475541134340523,0.014386462550786476,0.15557987150325775
40,20.0,6,5,0.014263497294037622,0.15497018256138256,0.014037555758757439,0.15578982134906968,0.014270502893107545,0.15470689751147673,0.014051082730728246,0.15554297966682748
41,20.0,6,6,0.01426898975821762,0.15470637831872966,0.014048267976532223,0.15554218473259254,0.01426898975821762,0.15470637831872966,0.014048267976532223,0.15554218473259254
42,50.0,6,1,0.1707403932518945,0.4603160451957462,0.1715339530975307,0.4619228522635226,0.46072120445698916,0.3325770098823135,0.46112011416788123,0.33368956962063556
43,50.0,6,2,0.03793403684471142,0.22539971023654973,0.03891619706424813,0.22600997850505736,0.05213649655463376,0.16397927539931725,0.05165693842911532,0.16490103167471853
44,50.0,6,3,0.01652785554361367,0.17565211799519378,0.01659275530124821,0.17657436185475933,0.012996329222249725,0.1577440079127382,0.012850562089543218,0.1586952147352078
45,50.0,6,4,0.011840674527287771,0.16430625435348828,0.01171159473377592,0.16519016405388431,0.01136117897108556,0.1566423434316445,0.011117624345256257,0.1575862106670451
46,50.0,6,5,0.010987046214974865,0.15693704259003818,0.010783575702831486,0.15788871069582772,0.010986916064035266,0.1566808927348044,0.010794496394892533,0.15764554729008207
47,50.0,6,6,0.010982962851542983,0.15668222036850626,0.010788407246232794,0.157646112824905,0.010982962851542983,0.15668222036850626,0.010788407246232794,0.157646112824905
48,100.0,6,1,0.15089052002836162,0.665973049138217,0.15221836607925956,0.6676436997366364,0.4651112711098061,0.5837492083563386,0.46543530932698357,0.5850192022546226
49,100.0,6,2,0.035622006263948805,0.238585834642563,0.03676080554304538,0.23953090659723641,0.05275017419139975,0.18150830511729502,0.05237602526415211,0.1828305184553644
50,100.0,6,3,0.014820094159651128,0.18082821203192362,0.015006666722265414,0.18197239053955988,0.012030954729526208,0.1635510494099045,0.01215872428415651,0.16477055836767737
51,100.0,6,4,0.009931326178990557,0.16852487969788343,0.010008796068731165,0.16959351735533476,0.00933503781719999,0.16099193922757044,0.009320944236022756,0.16214357971642496
52,100.0,6,5,0.00894390050200769,0.16124732042498324,0.008973847870559505,0.16241498851354397,0.008939558733163709,0.16100133960226198,0.008979206431057736,0.16218054844083818
53,100.0,6,6,0.008935326797241887,0.16100499122515818,0.008971331832666964,0.16218285661265502,0.008935326797241887,0.16100499122515818,0.008971331832666964,0.16218285661265502
54,150.0,6,1,0.13958515251739598,0.8813297482365697,0.14149613905252673,0.8835767130864134,0.4689471487031011,0.8207749475851479,0.4688634406472565,0.8226745919679975
55,150.0,6,2,0.034398185263604546,0.2561942190360226,0.0356647187016028,0.25754683408426904,0.053445660264427784,0.20404313885394584,0.053086611056011396,0.205847627864998
56,150.0,6,3,0.014064258064464291,0.18684325349839057,0.01431885941886841,0.18823838634000714,0.011962805957689813,0.17028145059366595,0.012175589935692791,0.17178537220801166
57,150.0,6,4,0.009179560447152832,0.1727505209438086,0.009365367903863765,0.17401310946693888,0.008572342978419927,0.16540462376827658,0.008675966245436836,0.16676503671408077
58,150.0,6,5,0.008154979656444714,0.1653783134838994,0.008304743697620449,0.16674595782185095,0.008149438580922472,0.16513983972434274,0.008306848389941113,0.16651972115192448
59,150.0,6,6,0.008145529743537158,0.16514206629589848,0.00829900702802113,0.16652065335421698,0.008145529743537158,0.16514206629589848,0.00829900702802113,0.16652065335421698
60,200.0,6,1,0.13291753841703027,1.0685854027268658,0.13535351126899048,1.0719386894334417,0.4718056006630297,1.019380352163756,0.4713262848128562,1.0224112983917144
61,200.0,6,2,0.033672005383215846,0.27493970456282774,0.03506016909428174,0.27673909676594816,0.053983560485338054,0.22715822385566128,0.05362225356379797,0.22947252016305594
62,200.0,6,3,0.013615129577459653,0.19343286247374222,0.013924056184212484,0.1950891117527629,0.012035049276789476,0.1775960306602235,0.012285492178572771,0.17938518465871875
63,200.0,6,4,0.008772252355628916,0.17694892560678493,0.009033712571353852,0.17840280580062717,0.008190110487796338,0.16979951071242058,0.008370618108803615,0.17136114636681382
64,200.0,6,5,0.007743329634238983,0.16929777854045236,0.007968179636884466,0.17084715752547794,0.0077373948707430825,0.16906571913610818,0.007968507215997319,0.17062830440103346
65,200.0,6,6,0.0077334976601391185,0.16906591801215612,0.00796079674035352,0.17062794707958542,0.0077334976601391185,0.16906591801215612,0.00796079674035352,0.17062794707958542
66,300.0,6,1,0.12583655358272433,1.369452482731115,0.12922811452982805,1.3751415816961963,0.4754887013085355,1.3318109835525334,0.47447603310072584,1.3372043003614726
67,300.0,6,2,0.03287803427461755,0.3111957064671296,0.03451589673529552,0.3139142618348955,0.05469872547091087,0.27008365702376463,0.054354882353335104,0.27339064943124997
68,300.0,6,3,0.013105503179193546,0.20713186850013335,0.013531976674058468,0.20928352958588223,0.01222389141306188,0.1926075702139029,0.01254656939840394,0.19492136248310338
69,300.0,6,4,0.008338016086601544,0.1851805774111411,0.00873168178316554,0.18699584985660053,0.00782489370186011,0.17840328757537677,0.008134523178048412,0.18033815738806364
70,300.0,6,5,0.0073160355045434385,0.17674599804439162,0.007657420262588151,0.17860854151082317,0.007309812932850068,0.1765254738232217,0.007656115518453849,0.17840275439291614
71,300.0,6,6,0.007305488909853157,0.17652686631704417,0.007648842565704891,0.17840670063415678,0.007305488909853157,0.17652686631704417,0.007648842565704891,0.17840670063415678
72,500.0,6,1,0.1204499725808781,1.7840404220738828,0.12532072874909594,1.7918833444092344,0.47906908825372735,1.7554106400964988,0.4775883876380309,1.762983635845875
73,500.0,6,2,0.03225086094067242,0.37056345330015233,0.03436606136563204,0.37503433578659223,0.05543222157788435,0.33726235329736914,0.055207424120973875,0.3423630579121448
74,500.0,6,3,0.012689312411620213,0.23140946163443996,0.013361784818202016,0.23432677271800176,0.012512427214914697,0.2187366498011453,0.013004843694282123,0.22184029266036978
75,500.0,6,4,0.007994213162557063,0.1996320561427428,0.008610271576504366,0.20204273795017572,0.00758286496202301,0.19343282043919224,0.008108405843811164,0.19597401499119646
76,500.0,6,5,0.006979298367135665,0.18975934396906854,0.007497884592015777,0.19206051130647944,0.006972636595453897,0.1895580639133556,0.007495702734952029,0.19187548119949024
77,500.0,6,6,0.006967494690059436,0.1895850122092697,0.007490451531074796,0.19191372230559622,0.006967494690059436,0.1895850122092697,0.007490451531074796,0.19191372230559622
78,750.0,6,1,0.11837279166642711,2.0965323111203222,0.12439666826625699,2.104416444455765,0.48100539224986705,2.0716370485570925,0.4793295657344648,2.0792611851238423
79,750.0,6,2,0.031999994101181005,0.42050947099243335,0.03458384488745501,0.42679188521802586,0.055852849298169104,0.3920525763002624,0.055811184722895715,0.3989685665522046
80,750.0,6,3,0.01251931739877947,0.25311584443504775,0.013443483689078951,0.2566304931508392,0.01271816031880608,0.24175905931536357,0.01339956295094566,0.2454691901030774
81,750.0,6,4,0.007852161966612571,0.2130394960572422,0.008668209545221229,0.21594671510416502,0.007505477703360294,0.2073014648320617,0.008226912272653495,0.2103452326792298
82,750.0,6,5,0.006838533387085808,0.20197015998212559,0.0075041478325848085,0.20457022857142332,0.006831411660171886,0.20178578478877082,0.007501786918973341,0.2044029024282234
83,750.0,6,6,0.006825915385770176,0.20185470888029022,0.007499523557783531,0.20449324373043534,0.006825915385770176,0.20185470888029022,0.007499523557783531,0.20449324373043534
84,1000.0,6,1,0.11767263188171234,2.282167849574227,0.12438738117892734,2.289548063948588,0.4819451742672826,2.25860003815151,0.4802047008469632,2.265726058742647
85,1000.0,6,2,0.03191311210443229,0.4518508186403269,0.0348201685552733,0.4594575059048344,0.05606543161310327,0.4259337490023978,0.0561738272122356,0.43417041786187927
86,1000.0,6,3,0.012458839563886851,0.2674222750265171,0.0135590376657463,0.2712834326855255,0.01283298918626551,0.25681128801769476,0.013652559333001852,0.26086938668159837
87,1000.0,6,4,0.007800171544704648,0.22226608590367078,0.008752107103027288,0.225466981805266,0.007486066872460954,0.2168124174848701,0.008341790873183588,0.220152739632963
88,1000.0,6,5,0.006786742609567515,0.21041505258129362,0.007547268016870146,0.21317306437829647,0.006779329807148256,0.210241526183514,0.007544887355571873,0.21301706573884133
89,1000.0,6,6,0.006773788662139545,0.2103423555575619,0.0075449541858435025,0.21314647646377557,0.006773788662139545,0.2103423555575619,0.0075449541858435025,0.21314647646377557
90,1500.0,6,1,0.11726481947355755,2.4742612587973007,0.12468574141133308,2.4809543822179356,0.4827843845803714,2.4514802132610765,0.4810092212630132,2.457936664428944
91,1500.0,6,2,0.031861418270621895,0.48545185716234457,0.035132071055405466,0.49468401699397035,0.05626109449708404,0.46195065994358586,0.0565542398600394,0.47180853210429496
92,1500.0,6,3,0.012421566891225182,0.2835497020367978,0.013720762422741036,0.2877301392460534,0.012945979826148394,0.2736897176950125,0.013926107458102051,0.27806387520211984
93,1500.0,6,4,0.00776716552770743,0.23310195923140953,0.008876245148582025,0.2365654906609424,0.00748264583323617,0.22795335090246097,0.00849452435910661,0.23155819007598383
94,1500.0,6,5,0.006754125782142677,0.22024953529700228,0.007620426408658014,0.22315723322914863,0.00674642645815201,0.220087619228527,0.007618053051591482,0.22301346658968846
95,1500.0,6,6,0.0067409587959274654,0.22022412936374666,0.00762088042336482,0.22318554377634417,0.0067409587959274654,0.22022412936374666,0.00762088042336482,0.22318554377634417
96,2000.0,6,1,0.11716620029661068,2.5635468164892212,0.124901119810928,2.56997412850477,0.48313041883208885,2.5409574571511833,0.48134650911980265,2.5471677479616583
97,2000.0,6,2,0.03184862730400703,0.501530372445818,0.035293461712696504,0.5116384592178367,0.05634362037628081,0.479088827670049,0.056729762252251584,0.4898222870754762
98,2000.0,6,3,0.012411946571600314,0.29165018978577667,0.013806345163298962,0.29593752975255305,0.012996209739313671,0.28213637500791733,0.014054375938812098,0.28661306818741916
99,2000.0,6,4,0.007758392614361795,0.23873719302516283,0.008946268676226613,0.24227507641142307,0.0074863317798436165,0.23373564144783243,0.008576629183439844,0.2374147222486245
100,2000.0,6,5,0.006745690105451052,0.2252326871110457,0.00766355086565839,0.2282031521848083,0.006737869235655852,0.22507617272614122,0.007661178755657876,0.22806515893046164
101,2000.0,6,6,0.006732468848984105,0.2252298422163726,0.007665370286536983,0.22825646066247882,0.006732468848984105,0.2252298422163726,0.007665370286536983,0.22825646066247882
