,Subsample size,Energy Weight,2Jmax,Train Precision,Error Precision,Sampling Method,Subsampled Energy RMSE,Subsampled Force RMSE,Training Energy RMSE,Training Force RMSE,Testing Energy RMSE,Testing Force RMSE
0,100,150,6,6,6,Random,0.0036580729580897864,0.1580126833656751,0.014070389078587603,0.21032023994707244,0.014553301988149097,0.21140803609440179
1,100,150,6,6,6,Random,0.004358458591879486,0.15714952038663485,0.013863240856628826,0.20561233259076242,0.014660339942079824,0.2113311239750697
2,100,150,6,6,6,Random,0.004030245825819735,0.15328111326245195,0.013952757807027216,0.2186707041342753,0.014911772468897775,0.21119883059725456
3,100,150,6,6,6,Random,0.003705244934203845,0.15245783803129337,0.019158609514814316,0.228327498256858,0.02374795166513274,0.2278696118734172
4,100,150,6,6,6,Random,0.003813587084075938,0.14933658360094712,0.056445995208574296,0.2579338755241425,0.06365493215084786,0.26762678432458586
5,100,150,6,6,6,Random,0.0034704004510462583,0.16195473780327418,0.013056005656139383,0.2341013427827686,0.013026946515045646,0.23401845181913006
6,100,150,6,6,6,Random,0.004740609910963889,0.16487038516527774,0.01572133541094865,0.2061734636878157,0.018989255670884497,0.2061865681028259
7,100,150,6,6,6,Random,0.003985415982483643,0.1521908227863684,0.02822589963848635,0.3250450245494144,0.02637636993103601,0.3354411988193154
8,100,150,6,6,6,Random,0.00397726572007837,0.15182383941315508,0.01877757588033004,0.28650661647572,0.019112856950118964,0.29656699107358275
9,100,150,6,6,6,Random,0.004043109124503279,0.15904760622703762,0.016159583680066224,0.18797427661646848,0.017299821156816834,0.19491362910909474
10,100,150,6,6,6,Random,0.004362923183664183,0.15951940518900648,0.021334509027601225,0.3015823778800769,0.021357135485770885,0.30417665221436796
11,100,150,6,6,6,Random,0.0036181148712821024,0.1548596187667891,0.01705845208085565,0.19022365763781132,0.020593298223641934,0.1984383888386999
12,100,150,6,6,6,Random,0.0040000958196001225,0.1551013275743925,0.04696397536175265,0.3132983913805003,0.05273083493551184,0.3185654581606812
13,100,150,6,6,6,Random,0.003584520940783031,0.16391416809896903,0.013647202895432357,0.19071678572235204,0.013730030729221673,0.19637188426773602
14,100,150,6,6,6,Random,0.004001867784805275,0.15812433440041673,0.02330239381450725,0.2711019317341734,0.023886495390216665,0.28116972370710724
15,100,150,6,6,6,Random,0.0037544225086637707,0.15408909004357915,0.03399517278831997,0.23307787018001946,0.041148354985033574,0.2334293148992974
16,100,150,6,6,6,Random,0.004491562935650751,0.16008536092784023,0.01211256982029312,0.21329054537490222,0.012196743231127793,0.21117977161139623
17,100,150,6,6,6,Random,0.003688901882696808,0.15671946422013788,0.04959167837348745,0.2098074791635698,0.05795090544370294,0.214846036513736
18,100,150,6,6,6,Random,0.004141542448035175,0.15565802747812424,0.014545986422806327,0.20208062654304298,0.01595835024857611,0.20654645156194096
19,100,150,6,6,6,Random,0.0034248635985089397,0.1549088381050072,0.026107550007767773,0.19749441132704015,0.03470861862309566,0.2053726687483136
20,100,150,6,6,6,Random,0.004160906584320597,0.16406442115874612,0.011052864311107267,0.18988838360341273,0.01099469344641714,0.188632585119439
21,100,150,6,6,6,Random,0.004310367241506843,0.1565759882107852,0.012797101551651074,0.20965506226343955,0.013097956865207776,0.21762501332302545
22,100,150,6,6,6,Random,0.003831511815622444,0.15797081212694614,0.024017998601391338,0.2134471913912777,0.031312096940644435,0.22375415997791465
23,100,150,6,6,6,Random,0.003971360219394166,0.15889233257898364,0.012794507462832809,0.1774399173645561,0.014264324093207442,0.17883648158192686
24,100,150,6,6,6,Random,0.0037508664206656914,0.15409208153373102,0.027412836012601634,0.19689470976928758,0.030940802658461556,0.20074362382629607
25,100,150,6,6,6,Random,0.004304766350669612,0.16568179065595004,0.0117772830902164,0.17682407546770487,0.01185285097178455,0.17736069735544852
26,100,150,6,6,6,Random,0.0037198340422166403,0.15895215990167239,0.01540851157612126,0.20625906210008893,0.01948015454025105,0.2183014398587812
27,100,150,6,6,6,Random,0.004424057148293387,0.1624096099163255,0.031839189762399224,0.2254985429068222,0.037696324050414176,0.23263353341315637
28,100,150,6,6,6,Random,0.004084742124415296,0.16381564137605295,0.014805472219074127,0.17577645355188343,0.01602326785672622,0.17825959934958557
29,100,150,6,6,6,Random,0.003427261804349911,0.1551041245326199,0.015800069407128445,0.2059441940889685,0.017257756765760853,0.20713184102272483
30,100,150,6,6,6,Random,0.00407517253559522,0.15719329977679322,0.03214640365158685,0.20056130953935014,0.04152685300251401,0.20682494367426196
31,100,150,6,6,6,Random,0.003964878449883285,0.1591986326106723,0.028427905251441985,0.21105855943684468,0.031848905406937536,0.22049824759483339
32,100,150,6,6,6,Random,0.003953215413403647,0.1630366883654494,0.04658329299591167,0.2819914393264491,0.05554573265149742,0.28486737059921036
33,100,150,6,6,6,Random,0.003723714946063937,0.15622636773935872,0.01592810087705628,0.19033924625407422,0.018198551952262214,0.19288431519972468
34,100,150,6,6,6,Random,0.0033152674761411137,0.14998839773841577,0.016272988978909324,0.20432276002968114,0.01702246128365735,0.20821714654065948
35,100,150,6,6,6,Random,0.0034633926494108415,0.1596162253161782,0.017538086186091196,0.2229498055058579,0.02117833325124863,0.2199826803438101
36,100,150,6,6,6,Random,0.003901645951556254,0.16682218556459893,0.012400698618067228,0.21468063094158632,0.012324708713228468,0.2165161393042039
37,100,150,6,6,6,Random,0.0034187943933606736,0.1519420213391872,0.018006013139978027,0.22423004733041596,0.023414560087065106,0.2329736476687801
38,100,150,6,6,6,Random,0.004101041338110865,0.1563819909299774,0.038176460791814894,0.22458864244833857,0.047473115561555396,0.2256534035689955
39,100,150,6,6,6,Random,0.003776027464962677,0.1606684512477206,0.02236875151468816,0.1997982467499834,0.02511597201325139,0.2046536201916691
40,100,150,6,6,6,Random,0.0034985005417264695,0.15111325227508537,0.0217095454527503,0.1935830616254055,0.02931633527472308,0.19909784753962517
41,100,150,6,6,6,Random,0.0040993221560657375,0.16132791945112143,0.02571877593579362,0.2296266379960369,0.0316620110192422,0.23685301540099468
42,100,150,6,6,6,Random,0.0037831160905290656,0.1644911701795304,0.01309023854324551,0.22406159104319992,0.013463108152640043,0.2297608012104042
43,100,150,6,6,6,Random,0.0034978325334981573,0.16125896122977296,0.025288450852112822,0.257751998143337,0.027669460425803774,0.2527688937675976
44,100,150,6,6,6,Random,0.003812246948428902,0.16079135128939218,0.012655285147202967,0.22991695804303647,0.012607447019397948,0.23202937546340263
45,100,150,6,6,6,Random,0.003806138336983643,0.15632688687699833,0.015126970183352849,0.23244821819207664,0.015105029004732444,0.2393274897615945
46,100,150,6,6,6,Random,0.004626604008832483,0.15756562280102568,0.014929127074754822,0.18343762267845842,0.014832737539911389,0.18732325116865967
47,100,150,6,6,6,Random,0.003771807611572693,0.15724536310621642,0.01295517333915035,0.21780287546456636,0.012725421589690068,0.21844412703123764
48,100,150,6,6,6,Random,0.003826196297327275,0.1565191571716062,0.027999742646668355,0.20074934449862847,0.03638590546645635,0.21335992169853032
49,100,150,6,6,6,Random,0.003882971802504935,0.1584511946785264,0.025341361570234706,0.2109066754562361,0.030486858497902353,0.21783198789471314
50,100,150,6,6,6,Leverage,0.004396276436328541,0.17253457729812466,0.011533775164944797,0.17679600409727883,0.011234334237071023,0.17727045594605795
51,100,150,6,6,6,Leverage,0.004592471936547703,0.18954347250301312,0.011567528956005518,0.18529883945695866,0.01157949700055249,0.18574576033134813
52,100,150,6,6,6,Leverage,0.003840228236251263,0.18056477434208598,0.010869007084578131,0.18153381612164524,0.010697660460939985,0.1820942669108938
53,100,150,6,6,6,Leverage,0.0048836399016596995,0.17357287807877525,0.01110892591540616,0.18031107458266843,0.011041977843862693,0.18094615002337022
54,100,150,6,6,6,Leverage,0.0041119372583649115,0.18803513023692617,0.011432378829795264,0.18477009051685997,0.011692656181325181,0.18525897035534403
55,100,150,6,6,6,Leverage,0.00418670401861665,0.18163792319176172,0.011155799556540212,0.18118611387861097,0.011113065700808687,0.18141257015474702
56,100,150,6,6,6,Leverage,0.0042898572366318315,0.18000482358887435,0.011358470276891281,0.17786402581231303,0.011381517759321596,0.17942373385185717
57,100,150,6,6,6,Leverage,0.004926651297084066,0.19008656756636533,0.010617400367384566,0.183140267849456,0.010687748369787116,0.18340485619994426
58,100,150,6,6,6,Leverage,0.003990159006107575,0.19236065733857247,0.01101772276857479,0.18465005774900378,0.011132987342282784,0.18611467593163208
59,100,150,6,6,6,Leverage,0.005200743572157963,0.18066487526308908,0.011250758106137048,0.18344696841262567,0.011476148471621138,0.18399410256032098
60,100,150,6,6,6,Leverage,0.004433863145677443,0.1827196250546038,0.011270405370658211,0.19882513152195802,0.01160859937493802,0.19922774739514124
61,100,150,6,6,6,Leverage,0.003919880119860877,0.18385461743098092,0.012054692654551566,0.18119556972329987,0.01205747572255235,0.18160942679491093
62,100,150,6,6,6,Leverage,0.004476927810950793,0.1790978081773193,0.010770891300639518,0.1831193154236564,0.010881040119893886,0.1836495814121327
63,100,150,6,6,6,Leverage,0.0039583151409270986,0.16723430783566798,0.01071227102883887,0.17721387270148495,0.010753446913690429,0.17811743398110613
64,100,150,6,6,6,Leverage,0.004220516526894452,0.1863524439847693,0.01206084470050277,0.1802370253170668,0.012233415851839987,0.18036688775992313
65,100,150,6,6,6,Leverage,0.004216511377234669,0.18534666496449032,0.011465341897314294,0.18055051885236137,0.011484585368840982,0.18088818532970954
66,100,150,6,6,6,Leverage,0.00436262158516757,0.180149248739023,0.010534461567768898,0.1798182134578858,0.010650411624340207,0.18034542080313695
