,Subsample size,Energy Weight,2Jmax,Train Precision,Subsampled Energy RMSE (train precision),Subsampled Force RMSE (train precision),Training Energy RMSE (train precision),Training Force RMSE (train precision),Testing Energy RMSE (train precision),Testing Force RMSE (train precision),Subsampled Energy RMSE (6th precision),Subsampled Force RMSE (6th precision),Training Energy RMSE (6th precision),Training Force RMSE (6th precision),Testing Energy RMSE (6th precision),Testing Force RMSE (6th precision)
0,100,5.0,6,1,0.1865667601381239,0.42720966339753214,0.20261218779395385,0.4178934946210526,0.20393403111830755,0.4181994305973337,0.4905159926362007,0.3023287727063326,0.48048762135900386,0.27568771364338074,0.47965218973307794,0.2762880207733099
1,100,5.0,6,2,0.0418427127703913,0.22725451315240414,0.04433330949832176,0.2332368246324473,0.04560274203793301,0.2335528675014395,0.05722349576130169,0.17680533129124856,0.06350965421639593,0.17510444007042417,0.0627504888748919,0.17558250738600775
2,100,5.0,6,3,0.03271873593587044,0.18460633297935433,0.0242701528572133,0.18429343533356352,0.025021240307206247,0.18461396717100162,0.02915207414745896,0.16713537174413773,0.020671194605590828,0.16714415504664112,0.02098038188520985,0.16739272934941338
3,100,5.0,6,4,0.030121663046609504,0.17223860342790406,0.02147621380282967,0.17274310246957075,0.022025903547943995,0.17297577946515272,0.030196100119672418,0.16560902400615582,0.02165953735457608,0.16565212086540232,0.02207386988722846,0.1658712478695473
4,100,5.0,6,5,0.030083724349581727,0.16543753139563622,0.020855650180026403,0.16582402544770802,0.02131200516518411,0.16607900070474255,0.0300998987309232,0.16505403423492407,0.02092259801538112,0.16556978923489107,0.02137795520051806,0.1658417843495465
5,100,5.0,6,6,0.02982520666634284,0.1650428128926197,0.0206814212853912,0.16547905303235325,0.02112812609188723,0.1657452422322712,0.02982520666634284,0.1650428128926197,0.0206814212853912,0.16547905303235325,0.02112812609188723,0.1657452422322712
6,100,10.0,6,1,0.1789076752132752,0.4284767255659849,0.19649556932708337,0.4182186380541124,0.19737629292095213,0.4185203937216723,0.4906209238352592,0.30085212211569734,0.48224344364709343,0.2755220718919899,0.48125699999081256,0.27598926843536487
7,100,10.0,6,2,0.03850742125432822,0.22748021813191427,0.04228944270455357,0.23332764019526722,0.043308142974035596,0.23366802755564112,0.05315798357575555,0.17698199967243394,0.060532848398133964,0.17514000499605298,0.05964967933691945,0.17564463720135037
8,100,10.0,6,3,0.027044915366401225,0.18495117983638848,0.021163939266951422,0.18433724306473198,0.02139248229219159,0.18469265345678906,0.024039380841284038,0.16755520011738048,0.01818087791222245,0.16720984785021817,0.01794596391879943,0.16749363942398066
9,100,10.0,6,4,0.024145180540113748,0.17259917625288582,0.017981502568864275,0.1727765193255991,0.01801166327669896,0.17304780543700873,0.02419375538378064,0.16596645875752034,0.018200584063229996,0.16564668371876218,0.018097221179550878,0.1659060784443376
10,100,10.0,6,5,0.02408493390617262,0.16581539656395583,0.017528532577609997,0.1657964457533809,0.017476824369208787,0.16608628456349084,0.024077309719729798,0.16541793277738026,0.017583834162569773,0.16554260979968818,0.017533200931964834,0.16584905480608136
11,100,10.0,6,6,0.023943448726463864,0.16541183079654317,0.017441902702187186,0.16546795704179829,0.017389790042024587,0.16576925663454173,0.023943448726463864,0.16541183079654317,0.017441902702187186,0.16546795704179829,0.017389790042024587,0.16576925663454173
12,100,12.25,6,1,0.176489382817784,0.42937714743422767,0.19505054374870195,0.4186294270974025,0.1958260925786213,0.4189233964993804,0.4907156858142043,0.3004872222704988,0.48297188084747655,0.2759941190060737,0.481907726088106,0.27639532905733477
13,100,12.25,6,2,0.037582976751458934,0.22761850926713348,0.041862443788958675,0.23341421160316475,0.04284104641601245,0.23376197408419874,0.05227657603593992,0.17710554368167314,0.0597599797012527,0.17521838693823139,0.058865185673956204,0.17573258289961227
14,100,12.25,6,3,0.02559347369548808,0.18513528252200015,0.020555608298681617,0.18441680594263832,0.020686023609420737,0.18478216450734805,0.022738956851496357,0.16777242554481755,0.01765113805789355,0.1672921590106086,0.017333565013098323,0.16758622289694447
15,100,12.25,6,4,0.0224040768684267,0.1728085925741271,0.017111374333000383,0.1728718631593447,0.01704644621208118,0.173157108016937,0.022433468969435842,0.16617829496229578,0.0172747886624762,0.16572560752793905,0.017076871340484127,0.16599995010551227
16,100,12.25,6,5,0.022278973067218644,0.16604066041578983,0.01664974982916545,0.16587023082734456,0.01650650167870599,0.1661745484807758,0.022267707686626937,0.16563821374496743,0.016697941363499377,0.16561683287275078,0.016556908214451924,0.1659373943990214
17,100,12.25,6,6,0.02216493807305711,0.16563300833588046,0.016577695484395732,0.1655481113720113,0.01643649180671749,0.16586388519168455,0.02216493807305711,0.16563300833588046,0.016577695484395732,0.1655481113720113,0.01643649180671749,0.16586388519168455
18,100,50.0,6,1,0.1354254874144214,0.5284364317595301,0.17887582894467693,0.5122771369749574,0.17938647736028043,0.5123989486537076,0.4941997213548619,0.40545620569879465,0.4782638998898782,0.4039520556904185,0.4762333149759833,0.4035532875778719
19,100,50.0,6,2,0.028293238683714684,0.23637807134018626,0.03934614058306841,0.2417038251996465,0.04041277472569567,0.24207191530057146,0.04952665114100176,0.18663899996705463,0.05477443905325121,0.18536739731963495,0.053946683106583945,0.18591036921095766
20,100,50.0,6,3,0.015804256555867067,0.19108276636295177,0.017172204149049512,0.189765589272155,0.0171173661141995,0.19008277111668287,0.01531211835696509,0.17421288953838493,0.013607450788802605,0.17303328138607568,0.013296214498102716,0.173308248704264
21,100,50.0,6,4,0.011361320896893432,0.1781035213981776,0.013268040252499995,0.17793272135409516,0.013104232500455643,0.17825505274282732,0.01152780641829025,0.17157065316539089,0.01249708683397191,0.17079055904214316,0.012216077023757765,0.17112523422451614
22,100,50.0,6,5,0.011054023530010958,0.17143293076350427,0.012438926960675972,0.1707476965235914,0.012192948322526515,0.17114206975154375,0.011055083638344437,0.17101161231897413,0.01241435641603526,0.17050819174021722,0.012179549342761347,0.17091461326796664
23,100,50.0,6,6,0.01106065726449978,0.17097837358341605,0.012398736873388863,0.17045371914256896,0.012167772346687544,0.17086135407075434,0.01106065726449978,0.17097837358341605,0.012398736873388863,0.17045371914256896,0.012167772346687544,0.17086135407075434
24,100,150.0,6,1,0.06935258697986305,1.0532094906875538,0.1675869873837564,1.0430695903942313,0.1689961350379691,1.0429843702087576,0.5060264012706382,0.9812400678300065,0.4705972565285806,0.9916531603776522,0.46832377201127223,0.9912177238729419
25,100,150.0,6,2,0.015572733429699073,0.30171266733955826,0.03905068597543477,0.3046827355810858,0.040082004579243914,0.30502674094716875,0.05252051028571269,0.2626824529614105,0.0540206978624432,0.26103066613532183,0.05337955456607232,0.2615143699179964
26,100,150.0,6,3,0.008255168723429233,0.21708085886363118,0.01702525531305612,0.2142755514742799,0.016783275823296234,0.21466907383598974,0.01482778153589541,0.20180590426935063,0.014785972734812816,0.199114490395902,0.014515016888646853,0.19955021669464096
27,100,150.0,6,4,0.00484111951947235,0.19324705371269946,0.013311888649926872,0.19260784474444786,0.013078666695093711,0.19286826753819802,0.006542273206017193,0.18719801365264466,0.012348190607743168,0.1858801859937417,0.012079852905950072,0.1861775940986015
28,100,150.0,6,5,0.004602923936578283,0.1864544482657011,0.011802785885826748,0.1847642826799459,0.0115578269562905,0.18523330987901404,0.0046483404770075515,0.1860885722923582,0.011770751604599372,0.18454879162228813,0.01153772110530109,0.18503089299959996
29,100,150.0,6,6,0.004619732770012254,0.18608029275945814,0.011788372067540583,0.18453603909617866,0.01155801224330637,0.18503076030865978,0.004619732770012254,0.18608029275945814,0.011788372067540583,0.18453603909617866,0.01155801224330637,0.18503076030865978
30,100,300.0,6,1,0.031706051618309083,1.5114638378557788,0.17030926539682129,1.5069209505546788,0.17195635371054194,1.5080369122046562,0.5143361015125228,1.4591648282457639,0.4701421260947143,1.4701394272243233,0.46792241332219414,1.4710232890054842
31,100,300.0,6,2,0.0076899925224326844,0.3857187335929273,0.04122759618189363,0.38621598489202397,0.04212863474605457,0.3866176907788663,0.05541516170264149,0.3563825767031696,0.05490351772327775,0.3523356112044368,0.05441127001537739,0.3528657420259003
